Time_Point,Importance
801,9.890687e-07
802,1.1659395e-06
803,9.4424615e-07
804,7.7056995e-07
805,9.593183e-07
806,7.505465e-07
807,8.505227e-07
808,9.933789e-07
809,9.1875165e-07
810,1.0731e-06
811,1.1041782e-06
812,1.2276774e-06
813,1.0035973e-06
814,9.948299e-07
815,1.0171806e-06
816,7.700197e-07
817,1.0235457e-06
818,6.3314826e-07
819,8.0709435e-07
820,8.3027714e-07
821,7.098568e-07
822,8.864339e-07
823,9.99752e-07
824,9.991775e-07
825,9.544243e-07
826,8.11925e-07
827,8.7673504e-07
828,7.995006e-07
829,6.76425e-07
830,6.6487786e-07
831,6.402888e-07
832,6.189924e-07
833,7.3020885e-07
834,7.5823954e-07
835,7.132377e-07
836,5.03975e-07
837,7.1362444e-07
838,8.1897343e-07
839,8.548268e-07
840,6.887195e-07
841,6.003609e-07
842,7.0654016e-07
843,7.3562694e-07
844,8.2577446e-07
845,7.409891e-07
846,6.000414e-07
847,6.006222e-07
848,6.904277e-07
849,4.4486902e-07
850,4.812289e-07
851,6.316834e-07
852,7.599785e-07
853,5.4466267e-07
854,8.7449126e-07
855,7.4444307e-07
856,6.8467205e-07
857,8.0778153e-07
858,6.1891313e-07
859,6.158174e-07
860,5.5010173e-07
861,5.587007e-07
862,6.959688e-07
863,6.8813654e-07
864,5.4533444e-07
865,6.4612715e-07
866,5.204673e-07
867,6.7014236e-07
868,6.303315e-07
869,5.0275156e-07
870,5.068133e-07
871,8.145401e-07
872,7.839706e-07
873,6.1086723e-07
874,7.041572e-07
875,7.0746665e-07
876,6.3351354e-07
877,6.7093055e-07
878,7.933962e-07
879,9.714627e-07
880,1.0394804e-06
881,7.405643e-07
882,6.430322e-07
883,8.291548e-07
884,8.389262e-07
885,1.7700295e-06
886,1.2559976e-06
887,1.0354537e-06
888,8.816849e-07
889,7.5278797e-07
890,9.281924e-07
891,7.723137e-07
892,5.818889e-07
893,5.414073e-07
894,7.454365e-07
895,7.667848e-07
896,9.0487754e-07
897,6.125379e-07
898,5.8891885e-07
899,5.749235e-07
900,9.208155e-07
901,8.000451e-07
902,8.7152586e-07
903,9.317945e-07
904,8.532491e-07
905,9.0992705e-07
906,8.886265e-07
907,1.0609575e-06
908,1.0175379e-06
909,1.0744357e-06
910,6.3245614e-07
911,9.831664e-07
912,8.539493e-07
913,9.154316e-07
914,6.7347094e-07
915,6.5204813e-07
916,8.414534e-07
917,8.0760293e-07
918,7.5277364e-07
919,1.0252306e-06
920,9.5305467e-07
921,6.230981e-07
922,6.077348e-07
923,8.306919e-07
924,4.8315843e-07
925,6.229782e-07
926,6.0746027e-07
